title,abstract,publication_date,url
RISKS AND THREATS OF SPECULATION IN THE FINANCIAL MARKET,"The article examines the risks and threats associated with speculative activity in the financial market. The authors analyze various types of speculation, including currency, stock and commodity. The main focus is on the negative consequences of speculation, such as increased volatility, the formation of price bubbles and the provocation of financial crises. The article also discusses regulatory methods aimed at reducing the risks associated with speculation and ways to protect investors from its negative consequences",2024-12-25,
"Integrated Marketing Chain Pattern of Smallholder Rubber Commodities in The Southern Region of Papua Province, Indonesia","Smallholder plantations drive economic growth, provide livelihoods, and support conservation, such as rubber, coffee, and cocoa widely cultivated, including rubber in Papua since the colonial era. This research aims to analyze rubber cultivation's history, development, and challenges in Southern Papua and identify strategies to optimize rubber commodities' supply chain and marketing. The study used qualitative and quantitative approaches, including historical data analysis, interviews with farmers and traders, and analysis of rubber prices from 2009 to 2016. The data are analyzed using the QSPM method to determine strategic priorities based on internal and external factors. The results show that since 1969, rubber development in the region has been facilitated by Catholic missionaries, who played a key role in education and the distribution of rubber seedlings. However, the global decline in rubber prices since 2013 has reduced farmer incomes, with many halting rubber sheet production. Supply chain barriers, such as difficult transportation and a lack of partnerships between farmers and traders, further exacerbate the situation. To address these challenges, the research recommends several strategies. In the short term, rubber plantation rejuvenation and strengthening partnerships between farmers and traders are needed. In the medium term, strengthening cooperatives and financial institutions and supporting production and marketing should be prioritized. In the long term, new processing machinery should be introduced, and medium-scale rubber processing factories should be established—rubber plantations in Merauke face price fluctuations, transportation issues, and weak partnerships. The research suggests rejuvenating plantations, strengthening cooperatives, and building processing factories to improve sustainability.",2024-12-23,
Factors of sustainable development of the grain market of the Russian Federation and assessment of their impact on the competitiveness of domestic grain producers,"In the presented article, the author substantiates the need to take into account the full variety of ex-ternal and internal factors of sustainable development of the grain market as an important condition for compliance with the standards of a highly competitive global grain market. The purpose of the study was to systematize and stratify ESG factors depending on the specific ecological, economic, social and infrastructural results obtained by the industry, as well as their correlation with those adaptation and optimization tools that can provide domestic grain producers with long-term strategic competitiveness in world markets, as well as increase the financial and economic results of the industry even in conditions of high volatility of supply and demand. The result of the conducted research and a certain increment of theoretical and methodological knowledge on this topic was a model of sustainable development of the grain market of the Russian Federation, reflecting the relationship of factors influencing the industry and adaptation industry tools, the use of which is based on those financial capabilities of grain producers, which were identified in the article as part of the description of the new transformed economic model of the grain market. The author substantiates the high efficiency and prospects of integration into the grain industry of both ESG principles and clustering, pointing out that the cluster development path facilitates the procedures for financing sustainable agricultural practices and simplifies the processes of conducting scientific research and implementing the best available technologies. At the same time, the state needs to implement certain protectionist measures against the grain industry, which should support its development during a period of serious geopolitical shifts and conjunctural fluctuations in financial and commodity markets.",2024-12-23,
AI in Forecasting Financial Markets,"Artificial Intelligence (AI) is transforming the landscape of financial market forecasting, offering innovative approaches to predict trends, optimize investments, and mitigate risks. By leveraging machine learning, natural language processing (NLP), and advanced statistical methods, AI-driven models analyze vast amounts of structured and unstructured data in real time, uncovering patterns and insights beyond human capabilities. This research explores the application of AI in financial market forecasting, emphasizing techniques such as deep learning for time-series analysis, sentiment analysis of news and social media, and reinforcement learning for adaptive trading strategies. Case studies from equity, commodity, and cryptocurrency markets demonstrate the effectiveness of AI in enhancing prediction accuracy and decision-making efficiency. The study also addresses challenges, including data quality, overfitting, and the ethical implications of AI-driven trading. By bridging the gap between computational intelligence and financial theory, this research aims to advance the understanding of AI’s role in forecasting financial markets, contributing to more robust, transparent, and equitable financial systems.",2024-12-23,
Analisis Hubungan Antara Kasus Korupsi Harvey Moeis dan Setya Novanto serta Kaitannya dengan Hukum Tata Negara dan Undang-Undang NRI 1945,"Corruption is an unlawful act that aims to enrich oneself, others, or a corporation, which in turn results in financial losses or has a negative impact on the country's economy. The definition of corruption itself is regulated in Law Number 31 Year 1999, which was later amended to Law Number 20 Year 2001. The harmful actions were committed by Harvey Moeis and Setyo Novanto. The losses incurred by each suspect were Rp 2.3 trillion and Rp 300 trillion, respectively. The writing method used in this article is literature study. This method can be done by collecting references consisting of several previous studies and then compiling them to draw conclusions. The corruption case committed by Harvey Moeis was related to the management of thyme commodity trading in Indonesian territory with a state loss of Rp 300 trillion, then the E-KTP case that dragged Setya Novanto's name. He is suspected of arranging for the project to be approved by the House of Representatives. Both cases violate Article 20A of Law Number 20 of 2001 and Law Number 31 of 1999 on the eradication of corruption. This case calls into question the accountability of public officials, especially in the case of Setya Novanto, the authority of state institutions over this case and the rule of law upheld in Indonesian constitutional law.",2024-12-23,
Political Crisis Following the Adoption of the Third Universal in the Context of Land Issues in Ukraine.,"Research aim. This article explains the internal economic and social preconditions for the governmental crisis that followed the adoption of the Third Universal by the Central Rada, considering systemic economic factors that shaped the stance of the Ukrainian government regarding land reforms at that time. Methodology of the research. The analysis of internal crisis factors focuses on various elements, including the nature of landlord estates in Ukrainian governorates at the beginning of the 20th century, the distribution of land among rural households unable to engage in commercial production due to land scarcity and lack of resources to sustain draft animals, as well as the programmatic positions of Ukrainian socialist-oriented parties regarding land reform directions. The scientific novelty. This study demonstrates that the political crisis stemming from the adoption of the Third Universal was triggered by the government's inability to resolve contradictions between the need to maintain a commodity-based agricultural system–primarily upheld by large, capitalist-style privately-owned estates closely linked to financial capital, which occupied a significant portion of Ukraine's agricultural lands–and the need to allocate land to peasants as a basic means of subsistence for rural families. The article highlights that, according to the socialist parties' agendas, one approach considered by the Central Rada and its government for resolving these contradictions was to establish collective farms on the basis of landlord estates. Conclusions. By the early 20th century, large-scale landownership in Ukraine had already acquired a capitalist nature in terms of both organization and integration into market relations. However, the limited volume of land available for redistribution made it impossible to allocate enough land for all peasants to conduct commercial farming. Consequently, land reform based on the redistribution of landlord lands neither had an anti-feudal character, promoted capitalist relations, nor could it mitigate the severe agrarian crisis. Under these conditions, the leadership of the General Secretariat for Land Affairs of the Central Rada pursued a policy aimed at preserving large, capitalized estates of a latifundial type, which conflicted with the mass peasant movement advocating for an egalitarian redistribution of land ownership. As a result, the Central Rada lost its primary social base–the Ukrainian peasantry–which ultimately led to its removal from the historical stage.",2024-12-23,
Machine Learning WTI Crude Oil Price Predictions,"Energy commodity price forecasts have always been quite important to a lot of market participants. To tackle the problem, our analysis looks at West Texas Intermediate (WTI) crude oil prices on a daily basis. The sample under inquiry covers 10 years, from April 4, 2014 to April 3, 2024, and the price series under analysis has major financial implications. Here, Gaussian process regression methods are developed using Bayesian optimization techniques and cross–validation processes, and the resulting strategies are utilized to provide price projections. The relative root mean square error of 2.2743% indicates that our empirical prediction approach produces reasonably accurate price estimates for the out-of-sample assessment period of April 19, 2022–April 3, 2024. Models of price predictions give investors and governments the information they need to make wise choices about the crude oil market.",2024-12-21,
Strategising the behavior of exporters in target global markets,"International trade is an important component of economic growth, so it is important to find an effective way to enter international markets that will bring positive results in both the short and long term. The study provides recommendations on how exporters should enter international markets, as exports enhance economic development and a country’s position in the global economy. Nowadays, the issue of entering the international market is closely related to the tools for supporting and promoting exports, as the market is highly competitive. The article identifies economic and additional incentive instruments for export promotion. Economic instruments include financial and tax instruments, while additional incentives are based on the use of administrative and marketing measures. An important part of the work is the analysis of global trends in commodity exports, which make it clear the importance of specific commodity sectors. The study also includes methods and indicators for assessing the effectiveness of the export support system, which allows countries to measure the impact of export support and promotion activities, as the effectiveness of instruments for one country will not always have the same effectiveness in another country. Since the start of the full-scale invasion, Ukrainian exporters have faced many challenges, which is why effective strategy is of paramount importance for the country’s development. One of the biggest problems in Ukraine’s exports is the high volume of raw material exports and the high number of imported value-added products, which is why the issue of export support and promotion is a relevant topic of research. The key regions for Ukrainian exports were selected in this study: European, Asian, American, African, Australian and Oceania. The choice of regions is based on the strategy of diversifying export markets. Ukraine already needs to minimise risks in international trade in order to avoid risks that may arise when it joins the European Union, as our national economic interests closely overlap with other countries of this integration association. The recommendations provided to Ukrainian exporters have been adapted to specific parts of the region that have certain peculiarities. At the end of the description of important aspects for entering the market of a particular region, promising sectors have been suggested based on the importance of this industry for the country or region.",2024-12-21,
Aggregated Inflation in Poland: Examining Impact of the Energy Commodity Global Prices,"The relationship between energy commodity prices and inflation has important implications for fiscal policy and economic stability. The nature of energy commodities is multi‑dimensional, serving both as basic raw materials in production processes and as critical consumer goods. This study focuses on estimating the impact of oil, natural gas and coal prices on inflation in Poland. Through the adoption of multiple regression models using quarterly data from Q2 2000 to Q3 2023, the study aims to estimate the impact of energy commodity prices, particularly oil, coal, and natural gas, on inflation in Poland and to answer the research question: What role do energy commodity prices play in shaping inflation in Poland? The empirical analysis revealed that oil and coal prices significantly influence inflation, reflecting Poland’s energy dependency. Natural gas prices showed a limited impact due to lower consumption and mitigation policy measures. The significant impact of energy prices suggests that energy market developments should be closely monitored for their inflationary potential. The study offers valuable insights for policymakers in their efforts to effectively manage inflationary pressure. The article contributes to the literature by presenting the short‑run relationship between inflation and energy commodity prices, covering long period of time with both financial, COVID‑19 crisis and the Russian aggression in Ukraine.",2024-12-21,
Ancient numismatists and the seasteading movement,"I read with great interest how the Nordic krone, Venezuelan petro, and New Russian ruble alternative currencies emerged as a result of the US dollar's crash in 2040. As an archeologist and scholar of more traditional forms of currency (what might more accurately be termed exchange valuables)—and coupled with the knowledge of what has passed in the sixty years since these currencies developed—I would like to provide a temporal perspective on why the compendium of monetary instruments owes part of its origin to legacy units of exchange, their ultimate transformation due to various economic and sociopolitical factors, and climate-driven reasons behind the rise of the Oceanic vaka (VKA) digital unit. As noted in Mandirola's (2025) brochure on the subject, ""money is not neutral"" and is ""an active agent in creating the ways in which wealth is generated, circulated, and distributed."" As a reminder, it is worth pointing out a much-discussed topic in economic theory and anthropology, and that is how money—so fundamental in state-level societies across human history—became a critical and integral piece of political economies (see, e.g., Davies, 2002; Pitluck et al., 2018; Weatherford, 1997). While space here does not allow for a full review of the myriad concepts and variations that have prevailed over the last few thousand years, suffice to say that money must fulfill three basic criteria: The note or coin has to be (a) a medium of exchange with a set value that can be used to pay for things or services, (b) a store of value that avoids the issue of both parties needing to desire goods or services in a trade scenario while also retaining purchasing power over time, and (c) a measure of value that assures that the unit of account can serve as a common denomination and has a relative measure of worth. The three alternative currencies described by Mandirola (2025) all served to try to solve—with some degree of success—how they could become both economically stable (i.e., reducing volatility in the markets) and profitable after US dollar transactions became transparent and traceable vis-à-vis the Honest Currencies program. This seemingly well-intended philosophical facet of financial engineering, at least on the surface, had some unintended effects that led to skyrocketing unemployment and the deportation of migrant workers on whom the American agricultural sector relied and from whose loss it subsequently never recovered. Along with the decline of the dollar in international reserves and investors no longer accepting US currency, the economy collapsed. The development of these new alternative currencies in response to the US dollar's demise needed to address several major concerns. These included removing or severely inhibiting the illicit tampering of each currency while ensuring government solvency. The results were the development of vastly different systems, each couched within the sociocultural peculiarities inherent across Scandinavia, Venezuela, and Russia. In essence, these three new alternative currencies achieved their goals until 2062, when a major phenomenon began to arise and changed the optics of monetary policy for most nations. This was a direct outgrowth of forced retreat and emigration due to climate-induced sea level rise, forcing a greater emphasis on living alternatives for those displaced along the world's coastal margins. During the mid-2010s, seasteading (i.e., habitable floating islands) became an increasingly popular and effective means of challenging political authority (Quirk & Friedman, 2017) while ensuring economic viability for those living under oppressive regimes, such as in Venezuela and Russia. It also allowed people across a broad spectrum of economic classes to regain or attain some of the autonomy that had been persecuted in their home nations. These habitable and movable structures, most of which were mass-produced and quite sophisticated, included built-in desalinization, waste management, and recycling systems; aerial and submarine drones; deployable purse seiners to capture seafood; and a combination of solar power, sails, and hydroelectric motors to harvest renewable energy sources to facilitate movement across large bodies of water. Similar to the floating cities found today—and not unlike the mega cruise ships popular in the mid-21st century, prior to massive avian influenza outbreaks (but without the immense multistory structures that were controlled by a single company or country)—these seasteading units could be autonomous or joined with others to form multimodule sea villages comprising tens or hundreds of separate domiciles. The impetus for these was clearly inspired by the earliest seafaring peoples, who crossed larger bodies of water thousands of years ago in search of new homes in response to overpopulation, a lack of resources, and/or autocratic rulers (Figure 1). These early traditional floating villages typically involved lashing canoes to each other and/or larger bamboo platforms and were once quite common across the Indo-Pacific. These not only became an effective way to facilitate trade but also created aquatic communities and established a level of autonomy that was completely movable and malleable. Source: Photograph by Damion Sailors Source: Photograph by Ashley Meredith Source: Photograph by the author Source: Muhammad Haris, Wikimedia Commons Source: Seasteading Institute Source: Seasteading Institute It is perhaps no surprise, then, that over time, some of the more unusual and innovative forms of exchange valuables (i.e., commodity currency) occurred in the watery realm of the Pacific, which covers one-third of the world's surface area and contains thousands of islands. The remoteness and isolation of many island groups, such as Hawai'i and the atolls of Micronesia, forced early inhabitants circa 1500–3000 years ago to create trade linkages with other islanders so that they could acquire needed or desired resources, find marriage partners, and assist with catastrophes (sometimes called the rescue effect). The disparate nature of some resources in the Pacific, notably pearl and Spondylus shells manufactured into beads or other objects, led to these becoming highly prized. In other places, like the Indian Ocean and West Africa, cowry shells became extremely valuable. The historical and symbolic importance of cowries cannot be understated. In Ghana, the national currency is the cedi, which translates to ""cowry."" Arguably the most famous example of portable object exchange in the Pacific, and notable in its own right on a global scale, is the stone money (rai) of Yap. For centuries before European contact (ca. 1200–1500 CE), the Yapese of western Micronesia traveled hundreds of miles over open ocean to the Palauan archipelago to carve disks of limestone, a relatively scarce resource not found in Yap. These disks were brought back on canoes or rafts and used in a variety of social and economic transactions. In the 1800s, Euro-Americans became involved with the transport of laborers and rai on larger ships using metal tools; stone money disks thus increased in size and number, leading to de facto inflation. Astonishingly, some of these disks exceeded two to three meters in diameter and weighed more than five or six metric tons (Fitzpatrick, 2008; Hazell & Fitzpatrick, 2006), though smaller disks carved precontact using shell and stone tools were considered much more valuable. An interesting facet of this exchange was that the stones, once brought to Yap, were rarely or ever moved again. To keep track of ownership, the Yapese kept an oral ledger among community members and later transposed this to a digital blockchain network (i.e., the Yapese Digital Ledger; YDL) that was accessible only by the high chiefs in the Council of Pilung. Even those rai lost offshore in rough seas during transport were considered so valuable that they could still be exchanged. It has been argued that these attributes, particularly the lack of a need for physical ownership of stone money for them to have value, may have been the impetus and inspiration for Bitcoin and its use of blockchain technology (Fitzpatrick & McKeon, 2020; Nakamoto, 2008) (Figure 2). Source: Photograph by the author Source: Gillilland (1975) Source: Photograph by the author Source: Photograph courtesy of Brad Holland Source: Photograph by the author In the 60 or so years since the failed Honest Currency program, seasteading has emerged as a prolific, sustainable, and politically influential force by establishing newly formed social groups, known as aquahives, that comprise independent, interlocking residential units that are free from any national government oversight outside of a nation's respective exclusive economic zone. While early seafaring societies often bartered to acquire needed goods or services given their smaller and mostly egalitarian nature, these modular aquahives could at times reach up to a thousand or more individual family and commerce units. This became even more critical with sea level rise drowning the world's coastlines. Seasteading provided a way for islanders to stay connected to what remained of their homeland, but with the flexibility to move if and when necessary. However, an immediate concern for all seasteaders regardless of location was how to also ensure financial flexibility after leaving their homelands and renouncing citizenship. This required a stable, digital alternative currency so that funds were easily accessible and transferable, but also potentially attractive to investors outside of the seasteading movement. Cryptocurrencies were one option, but the massive requirements for electricity and computing power were beyond the immediate capabilities of seasteaders even when harnessing the combined energy storage of larger aquahives, and keeping a crypto mining farm landlocked would have also defeated the purpose of seasteading autonomy. The tremendous growth of seasteading that emerged from different nations and dialects also necessitated a monetary unit that could be used within and between all participant groups and those with whom they interacted. This new currency was termed the Oceanic vaka, a Polynesian word for ""canoe,"" in deference to the exceptional seafaring skills of Pacific Islanders, who settled the most remote patches of land on earth. In a twist of irony, it was the ancient numismatists of Yap—with their tradition of carving and moving large limestone disks of stone money and their history of interconnections with smaller atoll groups as part of the ancient sawei exchange system—who became the centralized banking hub to which the VKA was tethered. In the 1930s, the Japanese administration had counted more than 13,000 rai in Yap, though an island-wide inventory conducted by archeologists in 2044 revealed only 3554 still intact. Their value, roughly akin to how the value of diamonds was assessed (cut, color, clarity, and carats [weight/size])—but importantly for the Yapese, also according to each stone's pedigree—was integrated into the YDL. From this, one hundred million VKA currency units were divided and unequally distributed among the total rai inventory based on their five uniquely assigned attributes. Although rai as a medium of exchange did not have nonmonetary uses, like gold did, their rarity and pedigrees dating back centuries were sufficient to help stone money retain a high level of demand on the antiquities market. The upside was price stability, whereby there was no feasible way for seasteaders (or governments) to inflate prices by expanding supply, though the downside was that the Yapese were highly unlikely to sell rai. This was not a strict monetary policy, however, and the Yap state government sold one rai each year to the highest bidder, often generating more than triple its VKA value. The revenue generated served to support all Yapese government services, with the remaining 50% reintroduced into the digital chain. As such, VKA digital units became not only an established currency but the preferred monetary unit among coastal cities with seasteading ports of manufacture and repair.",2024-12-20,
Beyond the S&amp;P 500: examining the role of external volatilities in market forecasting,"Abstract This study examines the impact of various exogenous volatilities on S&amp;P 500 volatility using HAR-RV-type models. In this regard, a diverse range of exogenous volatilities—including assets, commodities, oil, gold, bonds, interest rates, the CBOE Volatility Index (VIX), and the Economic Policy Uncertainty (EPU) index—are incorporated into the Heterogenous Autoregressive (HAR) model. The exogenous volatilities are classified into three groups: European Market Information, U.S. Market Information, and U.S. Financial and Policy-Related Information. The study aims to determine which group of information contributes most effectively to forecasting S&amp;P 500 stock market volatility. The results reveal several noteworthy points. First, the predictive accuracy of the baseline HAR-RV model is improved by incorporating exogenous explanatory variables. Second, the combination and the kitchen-sink approaches outperform models with single exogenous regressors, particularly for the U.S. Market Information group. Third, the U.S. Market Information group demonstrates superior predictive power compared to the other two groups, highlighting the interconnected nature of U.S. financial markets.",2024-12-20,
Analisis Kinerja Keuangan Perusahaan Sektor Pertambangan yang Terdaftar di BEI Tahun 2020-2023,"The financial performance of mining companies listed on the Indonesia Stock Exchange (IDX) during the 2020-20203 period was greatly influenced by fluctuations in global commodity prices and macroeconomic conditions that had an impact on the company's competitiveness and profitability. Therefore, it is important to assess how companies in this sector are managing their financial performance amid various challenges and opportunities. This study analyzes financial performance using several main financial ratios, including liquidity ratios (Current Ratio and Quick Ratio), solvency ratios (Debt to Equity Ratio and Debt to Asset Ratio), profitability ratios (Return on Assets, Return on Equity, and Net Profit Margin), and activity ratios (Total Asset Turnover and Inventory Turnover). The method used to conduct the analysis is the quantitative descriptive analysis method, using data that has been taken based on the annual financial statements of companies listed on the IDX during the period. Sample selection using the purposive sampling method, resulted in 3 companies being analyzed. The results of the analysis of 81 data observed using the Multiple Linear Regression method showed that environmental performance and environmentally friendly products had a positive impact on the company's financial performance, while environmental poroscope and environmental activities did not show a significant influence on the company's financial performance.",2024-12-20,
